id|chaptername|avgsentiment|mediansentiment|avgsentiment0
0|1 The Boy Who Lived  |0.06350675675675675|0.1531|0.030319354838709674
1|2 The Vanashing Glass  |-0.02882892561983471|-0.0516|-0.015713063063063065
2|3 The Letters From No One  |0.02154800000000002|0.0772|0.010202651515151514
3|4 The Keeper Of The Keys  |-0.04258507462686567|-0.15395|-0.022554940711462447
4|5 Diagon Alley  |0.1318594202898551|0.2755|0.05525283400809716
5|6 The Journey From Platform Nine And Three-Quarters  |0.09177473684210524|0.14055|0.03741888412017167
6|7 The Sorting Hat  |0.10150642857142857|0.2023|0.05039326241134751
7|8 The Potions Master  |0.0933949494949495|0.2732|0.05603696969696969
8|9 The Midnight Duel  |0.02130802469135803|0.0|0.010034593023255817
9|10 Halloween  |0.07944437086092714|0.2023|0.04094232081911262
10|11 Quidditch  |-0.014647321428571418|-0.1437|-0.007071120689655162
11|12 The Mirror Of Erised  |0.11222962962962964|0.2263|0.056563733333333345
12|13 Nicolas Flamel  |0.0470579831932773|0.1027|0.027052657004830918
13|14 Norbert The Norwegian Ridgeback  |0.05069153846153847|0.127|0.025842745098039216
14|15 The Forbidden Forest  |-0.1050004608294931|-0.2263|-0.06092272727272728
15|16 Through The Trapdoor  |0.03850904977375567|0.1027|0.01787920168067227
16|17 The Man With Two Faces  |0.04669367088607594|0.2247|0.02549861751152074
17|18 The Worst Birthday  |0.002980952380952385|0.051500000000000004|0.0016582781456953668
18|19 Dobby’S Warning  |-0.08045507246376811|-0.2263|-0.051882242990654207
19|20 The Burrow  |0.06174503816793893|0.1027|0.027891724137931034
20|21 At Flourish And Blotts  |0.10715953757225435|0.2023|0.05420643274853802
21|22 The Whomping Willow  |-0.003660451977401127|-0.0498|-0.002005882352941175
22|23 Gilderoy Lockhart  |0.09919753086419754|0.20315|0.05973977695167287
23|24 Mudbloods And Murmurs  |0.095434375|0.2263|0.04599246987951808
24|25 The Deathday Party  |0.05095063291139241|0.0772|0.03026390977443609
25|26 The Writing On The Wall  |-0.06111557788944724|-0.1531|-0.03455113636363637
26|27 The Rogue Bludger  |-0.01589941520467836|-0.0258|-0.008189156626506024
27|28 The Duelling Club  |-0.0555955|-0.1027|-0.030972423398328685
28|29 The Polyjuice Potion  |0.031967475728155344|0.0516|0.01765495978552279
29|30 The Very Secret Diary  |-0.002116571428571429|-0.1027|-0.0009571059431524595
30|31 Cornelius Fudge  |-0.056620134228187916|-0.1779|-0.03244769230769231
31|32 Aragog  |-0.012865909090909088|0.0|-0.0075986577181208015
32|33 The Chamber Of Secrets  |0.0025070093457943954|-0.0772|0.0011948775055679267
33|34 The Heir Of Slytherin  |0.013765765765765775|0.057999999999999996|0.00769773299748111
34|35 Dobby’S Reward  |0.0661111111111111|0.2143|0.0385251798561151
35|36 Owl Post  |0.10807479674796748|0.2732|0.0668
36|37 Aunt Marge’S Big Mistake  |-0.0369102189781022|-0.1027|-0.019675875486381326
37|38 The Knight Bus  |-0.0017499999999999953|-0.045149999999999996|-0.0009020618556701129
38|39 The Leaky Cauldron  |0.09091646341463412|0.2612|0.04856775244299675
39|40 The Dementor  |-0.053891031390134535|-0.1027|-0.028545605700712594
40|41 Talons And Tea Leaves  |0.03887658730158731|0.0772|0.02115961123110151
41|42 The Boggart In The Wardrobe  |0.04733045977011494|0.128|0.0259794952681388
42|43 Flight Of The Fat Lady  |0.03641709844559587|0.0772|0.02073303834808259
43|44 Grim Defeat  |-0.06205340314136125|-0.2023|-0.031272295514511876
44|45 The Marauder’S Map  |-0.009483794466403152|-0.0772|-0.005083474576271192
45|46 The Firebolt  |0.002577500000000006|-0.0772|0.0014399441340782106
46|47 The Patronus  |0.0846177142857143|0.1779|0.04407172619047619
47|48 Gryffindor Versus Ravenclaw  |0.1270307142857143|0.27515|0.0780013157894737
48|49 Snape’S Grudge  |0.02438137254901961|0.01755|0.012496984924623117
49|50 The Quidditch Final  |0.036672192513368986|0.126|0.019935174418604647
50|51 Professor Trelawney’S Prediction  |-0.020977922077922078|-0.08130000000000001|-0.010095625000000002
51|52 Cat, Rat, And Dog  |-0.15591538461538462|-0.2724|-0.0755793220338983
52|53 Moony, Wormtail, Padfoot, And Prongs  |-0.03703777777777779|-0.1403|-0.019157471264367818
53|54 The Servant Of Lord Voldermort  |-0.0895895|-0.2732|-0.04081526195899772
54|55 The Dementor’S Kiss  |-0.05460609756097561|-0.1779|-0.024468306010928965
55|56 Hermione’S Secret  |0.006462962962962968|-0.1027|0.0025873146622734777
56|57 Owl Post Again  |0.1635023923444976|0.3182|0.08521695760598504
57|58 The Riddle House  |-0.07795695364238409|-0.1531|-0.04884439834024896
58|59 The Scar  |-0.06532978723404255|-0.15295|-0.04121476510067114
59|60 The Invitation  |0.02792499999999999|0.08995|0.013608121827411166
60|61 Back To The Burrow  |-0.044249541284403685|-0.25|-0.024483248730964465
61|62 Weasleys’ Wizard Wheezes  |0.11524628099173555|0.296|0.05762314049586777
62|63 The Portkey  |0.046456451612903224|0.0|0.01822974683544304
63|64 Bagman And Crouch  |0.2108639053254438|0.3612|0.10389504373177844
64|65 The Quidditch World Cup  |0.12536613756613757|0.2732|0.07404437500000001
65|66 The Dark Mark  |-0.1107718614718615|-0.2732|-0.05409788583509514
66|67 Mayhem At The Ministry  |-0.022100000000000005|-0.0772|-0.010222466960352427
67|68 Aboard The Hogwarts Express  |0.13209600000000002|0.2732|0.0620169014084507
68|69 The Triwizard Tournament  |0.1218448087431694|0.2006|0.07507609427609428
69|70 Mad-Eye Moody  |-0.07762483221476509|-0.1511|-0.047402049180327865
70|71 The Unforgivable Curses  |-0.08908039215686274|-0.1901|-0.05408452380952381
71|72 Beauxbatons And Drumstrang  |0.0661931818181818|0.1628|0.03935810810810811
72|73 The Goblet Of Fire  |0.23722087378640777|0.3818|0.12859868421052634
73|74 The Four Champions  |0.10366521739130435|0.2465|0.057751211072664364
74|75 The Weighing Of The Wands  |0.09821643835616438|0.2023|0.05233430656934306
75|76 The Hungarian Horntail  |0.005458295964125561|-0.1027|0.003161558441558446
76|77 The First Task  |0.11451263940520447|0.1943|0.06554021276595745
77|78 The House-Elf Liberation Front  |0.11326758241758242|0.2506|0.06781151315789473
78|79 The Unexpected Task  |0.058737500000000005|0.18395|0.030786551724137926
79|80 The Yule Ball  |0.16526778242677823|0.2732|0.08127366255144033
80|81 Rita Skeeter’S Scoop  |0.025617672413793115|0.0772|0.01421842105263158
81|82 The Egg And The Eye  |-0.06368516483516483|-0.22535|-0.032286072423398336
82|83 The Second Task  |0.08601146245059288|0.2023|0.0484652561247216
83|84 Padfoot Returns  |0.0015856589147286873|-0.0387|0.0008893478260869556
84|85 The Madness Of Mr|0.010843071161048686|0.0516|0.005401305970149255
85|86 The Dream  |-0.030973529411764702|-0.1531|-0.015532448377581122
86|87 The Pensieve  |-0.036771226415094345|-0.17170000000000002|-0.01751797752808989
87|88 The Third Task  |0.023358712121212117|0.08995|0.011011964285714283
88|89 Flesh, Blood, And Bone  |-0.25841558441558443|-0.3818|-0.14849253731343284
89|90 The Death Eaters  |-0.030926943005181347|-0.0284|-0.019131089743589742
90|91 Priori Incantatem  |-0.1860171428571429|-0.296|-0.11557278106508874
91|92 Veritaserum  |-0.14521450381679388|-0.3071|-0.06806118067978532
92|93 The Parting Of The Ways  |-0.01656351351351351|-0.0572|-0.00828175675675676
93|94 The Beginning  |0.06904640883977901|0.1779|0.032376683937823836
94|95 Dudley Demented  |-0.0643215909090909|-0.0781|-0.038769178082191776
95|96 A Peck Of Owls  |-0.17560050761421322|-0.3595|-0.09503653846153846
96|97 The Advanced Guard  |-0.03676158192090396|-0.1027|-0.019959509202453984
97|98 Number Twelve, Grimmauld Place  |-0.06493387096774193|-0.1628|-0.035007826086956524
98|99 The Order Of The Phoenix  |0.002756451612903229|0.051500000000000004|0.0015442771084337394
99|100 The Noble And Most Ancient House Of Black  |-0.008975471698113203|0.0772|-0.005198907103825137
100|101 The Ministry Of Magic  |0.05019333333333333|0.0772|0.024028723404255322
101|102 The Hearing  |0.000367910447761185|-0.0387|0.00020204918032786526
102|103 The Woes Of Mrs|0.0389116129032258|0.0772|0.022889184060721067
103|104 Luna Lovegood  |0.009041293532338316|0.1027|0.00464782608695652
104|105 The Sorting Hat’S New Song  |0.06328097826086956|0.11449999999999999|0.03894214046822742
105|106 Professor Umbridge  |0.05725205479452055|0.128|0.030506569343065695
106|107 Detention With Dolores  |0.06806815286624204|0.2023|0.0411026923076923
107|108 Percy And Padfoot  |0.029759922178988322|0.0516|0.017187191011235958
108|109 The Hogwarts High Inquisitor  |0.11917887931034485|0.26885000000000003|0.0699987341772152
109|110 In The Hog’S Head  |0.1100952127659574|0.2263|0.06310335365853659
110|111 Educational Decree Number Twenty-Four  |-0.008789565217391321|-0.0387|-0.004979310344827589
111|112 Dumbledore’S Army  |0.03660452674897121|0.0516|0.02016984126984127
112|113 The Lion And The Serpent  |0.0253830985915493|0.0772|0.016139104477611934
113|114 Hagrid’S Tale  |0.023621904761904764|0.128|0.011299772209567202
114|115 The Eye Of The Snake  |-0.02301054545454545|-0.1027|-0.012783636363636363
115|116 St|-0.04344813278008298|-0.1593|-0.0241824480369515
116|117 Christmas On The Closed Ward  |0.09267949790794978|0.2263|0.05679589743589743
117|118 Occlumency  |0.00313851851851852|0.0258|0.0017472164948453598
118|119 The Beetle At Bay  |-0.023636981132075463|-0.0387|-0.013242706131078223
119|120 Seen And Unforeseen  |0.005425263157894733|0.0258|0.003155510204081627
120|121 The Centaur And The Sneak  |0.03255972222222222|0.0267|0.02003675213675214
121|122 Snape’S Worst Memory  |0.09687439446366783|0.2263|0.05137009174311926
122|123 Career Advice  |0.07021611570247933|0.128|0.0401709219858156
123|124 Grawp  |0.0018229681978798626|-0.0191|0.0010838235294117614
124|125 O|0.0416988326848249|0.1027|0.02381466666666667
125|126 Out Of The Fire  |-0.11862318840579712|-0.2716|-0.0639453125
126|127 Fight And Flight  |-0.0722637037037037|-0.1759|-0.046901923076923084
127|128 The Department Of Mysteries  |0.06123649635036497|0.1027|0.02549969604863222
128|129 Beyond The Veil  |-0.1728494071146245|-0.34|-0.10932725000000001
129|130 The Only One He Ever Feared  |-0.24178392857142858|-0.3612|-0.13746091370558375
130|131 The Lost Prophecy  |-0.043576491228070176|-0.1027|-0.02503891129032258
131|132 The Second War Begins  |0.007991385767790253|0.0258|0.004336788617886176
132|133 The Other Minister  |-0.04329090909090909|-0.14055|-0.026093150684931503
133|134 Spinner’S End  |0.03365661375661377|0.128|0.02106324503311258
134|135 Will And Won’T  |0.0005374999999999993|0.0772|0.00030836653386454504
135|136 Horace Slughorn  |0.1638362831858407|0.2732|0.08858133971291866
136|137 An Excess Of Phlegm  |0.16758232558139535|0.3382|0.09167989821882952
137|138 Draco’S Detour  |0.13314976076555024|0.25|0.07883371104815863
138|139 The Slug Club  |0.11293547008547009|0.22005|0.06573855721393033
139|140 Snape Victorious  |0.07081184210526315|0.14055|0.04254308300395257
140|141 The Half-Blood Prince  |0.2295123348017621|0.3612|0.12172733644859814
141|142 The House Of Gaunt  |-0.03630410256410256|-0.1531|-0.020760410557184746
142|143 Hermione’S Helping Hand  |-0.01905464480874317|-0.1007|-0.011140575079872208
143|144 Silver And Opals  |-0.05308285714285715|-0.1695|-0.03127777777777778
144|145 The Secret Riddle  |0.06412893401015228|0.2484|0.036725
145|146 Felix Felicis  |0.12269559471365639|0.2789|0.07801652661064426
146|147 The Unbreakable Vow  |0.1938771844660194|0.3715|0.1263882911392405
147|148 A Very Frosty Christmas  |0.1585417840375587|0.3182|0.08592722646310434
148|149 A Sluggish Memory  |0.03928862559241706|0.1027|0.022588283378746594
149|150 Birthday Surprises  |0.053020814479638016|0.1744|0.03067434554973822
150|151 Elf Tails  |-0.036148181818181815|-0.1182|-0.022090555555555554
151|152 Lord Voldemort’S Request  |0.1897308370044053|0.3167|0.11735395095367847
152|153 The Unknowable Room  |0.009974285714285724|0.0258|0.005471786833855801
153|154 After The Burial  |0.056991599999999996|0.2023|0.03449854721549636
154|155 Horcruxes  |-0.0015060301507537736|0.0754|-0.000985855263157898
155|156 Sectumsempra  |0.031097894736842092|0.063|0.017850755287009062
156|157 The Seer Overheard  |-0.0003121212121212222|-0.0191|-0.000158950617283953
157|158 The Cave  |-0.03100495495495495|-0.08155000000000001|-0.018257559681697615
158|159 The Lightning-Struck Tower  |-0.07507245508982037|-0.1045|-0.04221245791245792
159|160 Flight Of The Prince  |-0.3539676767676768|-0.4019|-0.21765714285714285
160|161 The Phoenix Lament  |-0.16439698492462312|-0.2732|-0.09062326869806095
161|162 The White Tomb  |-0.055799462365591405|-0.17770000000000002|-0.03173914373088685
162|163 The Dark Lord Ascending  |0.06370172413793104|0.2023|0.03518761904761904
163|164 In Memoriam  |0.014695384615384617|0.128|0.010613333333333332
164|165 The Dursleys Departing  |0.10866721311475411|0.23035|0.06343253588516747
165|166 The Seven Potters  |-0.1714183908045977|-0.296|-0.11836031746031746
166|167 Fallen Warrior  |-0.08734670050761421|-0.2023|-0.043896173469387754
167|168 The Ghoul In Pajamas  |-0.025629310344827592|-0.0387|-0.01446715328467153
168|169 The Will Of Albus Dumbledore  |0.10650272727272729|0.23815|0.0542375
169|170 The Wedding  |0.12886923076923076|0.296|0.07953946587537092
170|171 A Place To Hide  |-0.16906694214876036|-0.296|-0.09298681818181818
171|172 Kreacher’S Tale  |0.018561083743842362|0.0516|0.009686118251928022
172|173 The Bribe  |-0.09759184782608696|-0.2023|-0.05773922829581993
173|174 Magic Is Might  |-0.012828191489361696|-0.0772|-0.00703119533527697
174|175 The Muggle-Born Registration Commission  |-0.08474293785310735|-0.2263|-0.04658229813664595
175|176 The Thief  |-0.19174559999999996|-0.296|-0.10796486486486487
176|177 The Goblin’S Revenge  |-0.06941981566820275|-0.1873|-0.038527109974424545
177|178 Godric’S Hollow  |-0.00743821656050956|-0.0772|-0.004357462686567168
178|179 Bathilda’S Secret  |-0.14929325842696628|-0.24459999999999998|-0.07680404624277457
179|180 The Life And Lies Of Albus Dumbledore  |-0.030406569343065702|-0.0613|-0.023272067039106142
180|181 The Silver Doe  |0.005823008849557517|0.0258|0.003340101522842637
181|182 Xenophilius Lovegood  |0.1177014084507042|0.2023|0.06012086330935252
182|183 The Tale Of The Three Brothers  |-0.09276488095238096|-0.2143|-0.04931803797468355
183|184 The Deathly Hallows  |0.00037729729729729655|0.046|0.0002102409638554253
184|185 Malfoy Manor  |-0.10720843373493978|-0.2003|-0.05504103092783504
185|186 The Wandmaker  |-0.03612962962962964|-0.0516|-0.01741964285714286
186|187 Shell Cottage  |0.006237500000000002|-0.06595000000000001|0.003551601423487545
187|188 Gringotts  |-0.07095449735449734|-0.1531|-0.043968524590163933
188|189 The Final Hiding Place  |-0.15352658227848104|-0.2732|-0.10733274336283184
189|190 The Missing Mirror  |-0.08747962962962963|-0.22455|-0.051910989010989006
190|191 The Lost Diadem  |0.04798407643312102|0.1027|0.026249128919860625
191|192 The Sacking Of Severus Snape  |-0.01241768707482994|0.0516|-0.006940684410646391
192|193 The Battle Of Hogwarts  |-0.1344313253012048|-0.296|-0.08144379562043795
193|194 The Elder Wand  |-0.1953963636363636|-0.34|-0.11194583333333334
194|195 The Prince’S Tale  |-0.03616540880503144|-0.1531|-0.019862867012089815
195|196 The Forest Again  |0.04461458333333333|0.0772|0.024998054474708167
196|197 King’S Cross  |-0.007269162995594718|-0.0572|-0.004423860589812336
197|198 The Flaw In The Plan  |-0.10715714285714285|-0.22535|-0.07143809523809523
198|199 Nineteen Years Later  |0.21852537313432835|0.3612|0.12303529411764703
